30,20,161,6.3,0.342,0.368,0.526,0.000,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,77,103,-0.4,0.2,-0.1,-0.038
30,1,2,0.0,0.000,0.000,0.000,0.000,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,59,113,0.0,0.0,0.0,-0.274
30,18,209,11.7,0.449,0.429,0.381,0.000,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,102,106,0.1,0.2,0.3,0.065
34,42,624,17.4,0.631,0.585,0.756,0.024,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,125,100,1.6,1.1,2.7,0.207
30,65,1495,12.6,0.509,0.460,0.239,0.463,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,101,110,0.8,0.8,1.6,0.052
23,39,401,13.9,0.539,0.496,0.222,0.476,5.2,15.0,10.2,15.8,1.9,0.9,15.3,18.0,107,105,0.4,0.4,0.9,0.106
23,10,94,13.0,0.587,0.540,0.360,0.440,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,105,103,0.1,0.1,0.2,0.109
23,29,307,14.2,0.526,0.485,0.188,0.485,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,108,106,0.4,0.3,0.7,0.105
24,81,2503,18.1,0.548,0.519,0.161,0.500,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,114,112,5.7,0.8,6.5,0.125
28,67,2482,24.8,0.560,0.502,0.344,0.278,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,112,108,7.5,2.0,9.5,0.184
30,62,566,10.4,0.542,0.515,0.412,0.000,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,108,103,0.4,0.8,1.2,0.100
27,56,1471,14.0,0.538,0.501,0.211,0.463,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,102,101,0.7,2.4,3.1,0.102
24,59,970,11.8,0.477,0.458,0.128,0.050,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,99,102,0.2,1.5,1.7,0.084
26,82,2464,14.9,0.558,0.541,0.487,0.002,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,105,103,2.0,3.5,5.5,0.108
25,76,1226,11.0,0.527,0.464,0.337,0.646,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,109,104,1.4,1.5,2.8,0.112
27,55,734,12.8,0.540,0.551,0.299,0.000,9.0,21.3,15.1,14.7,1.5,1.8,19.9,14.5,103,106,0.4,0.8,1.2,0.077
27,43,571,11.7,0.540,0.536,0.304,0.000,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,102,108,0.3,0.5,0.7,0.061
27,12,163,16.6,0.539,0.595,0.286,0.000,12.7,26.7,19.4,11.6,2.8,1.8,16.0,15.0,106,99,0.1,0.3,0.4,0.132
25,37,369,14.5,0.533,0.492,0.183,0.032,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,104,99,0.3,0.7,1.0,0.129
23,62,730,9.4,0.509,0.500,0.056,0.761,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,102,109,0.3,0.4,0.7,0.047
30,41,513,13.5,0.509,0.477,0.212,0.244,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,103,106,0.4,0.5,0.9,0.086
28,74,1713,14.1,0.510,0.481,0.177,0.369,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,101,109,0.8,1.0,1.9,0.053
27,35,1003,11.2,0.482,0.444,0.181,0.289,3.0,12.3,7.6,6.6,1.1,1.8,10.5,23.8,94,109,-0.5,0.6,0.1,0.007
20,81,2058,11.0,0.526,0.481,0.303,0.231,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,102,107,0.9,1.9,2.8,0.065
32,80,2058,15.5,0.566,0.544,0.173,0.481,6.5,14.5,10.6,9.2,2.1,2.6,11.0,18.1,113,103,3.5,2.8,6.3,0.146
31,12,159,8.9,0.361,0.353,0.137,0.000,15.4,28.1,21.6,5.0,1.6,3.0,16.9,18.8,81,99,-0.3,0.3,0.0,-0.003
31,11,122,6.9,0.357,0.351,0.135,0.000,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,76,97,-0.3,0.3,-0.1,-0.025
